iter	Passed	Remaining
0	41	20623
1	79	19715
2	116	19299
3	156	19348
4	194	19232
5	232	19183
6	265	18710
7	286	17623
8	306	16740
9	331	16252
10	351	15614
11	371	15124
12	393	14729
13	413	14357
14	435	14088
15	456	13821
16	479	13630
17	499	13388
18	521	13190
19	542	13014
20	562	12834
21	581	12640
22	602	12489
23	626	12429
24	648	12312
25	668	12189
26	689	12078
27	710	11973
28	732	11890
29	752	11784
30	772	11682
31	792	11589
32	813	11518
33	836	11463
34	857	11391
35	879	11331
36	900	11264
37	921	11206
38	942	11139
39	962	11070
40	982	11004
41	1004	10950
42	1025	10901
43	1046	10850
44	1068	10800
45	1089	10751
46	1112	10719
47	1135	10691
48	1156	10642
49	1177	10601
50	1199	10561
51	1220	10510
52	1242	10482
53	1262	10430
54	1282	10378
55	1304	10341
56	1326	10307
57	1349	10280
58	1369	10234
59	1389	10190
60	1410	10151
61	1432	10120
62	1454	10090
63	1475	10051
64	1496	10018
65	1517	9976
66	1537	9937
67	1558	9901
68	1580	9873
69	1601	9835
70	1622	9805
71	1647	9790
72	1668	9762
73	1690	9729
74	1710	9691
75	1732	9666
76	1754	9638
77	1777	9614
78	1800	9595
79	1824	9577
80	1847	9557
81	1871	9539
82	1893	9514
83	1922	9521
84	1948	9514
85	1974	9505
86	2001	9499
87	2026	9488
88	2051	9473
89	2075	9455
90	2100	9438
91	2129	9442
92	2155	9433
93	2182	9425
94	2208	9414
95	2231	9390
96	2256	9373
97	2282	9362
98	2305	9337
99	2326	9304
100	2349	9280
101	2372	9258
102	2393	9227
103	2416	9202
104	2439	9178
105	2463	9156
106	2486	9131
107	2508	9106
108	2531	9079
109	2553	9052
110	2574	9022
111	2597	9000
112	2624	8987
113	2649	8971
114	2671	8943
115	2693	8917
116	2716	8893
117	2740	8870
118	2762	8844
119	2785	8819
120	2808	8796
121	2830	8769
122	2853	8746
123	2874	8717
124	2895	8687
125	2917	8658
126	2942	8641
127	2965	8617
128	2987	8592
129	3010	8567
130	3034	8546
131	3057	8525
132	3079	8496
133	3112	8501
134	3136	8480
135	3163	8467
136	3187	8446
137	3213	8429
138	3235	8403
139	3262	8388
140	3288	8372
141	3317	8364
142	3345	8352
143	3370	8331
144	3398	8321
145	3426	8308
146	3451	8289
147	3478	8274
148	3505	8258
149	3533	8244
150	3562	8234
151	3586	8212
152	3609	8185
153	3634	8166
154	3657	8141
155	3679	8112
156	3704	8093
157	3728	8070
158	3753	8050
159	3775	8022
160	3796	7994
161	3820	7970
162	3843	7947
163	3868	7925
164	3890	7899
165	3911	7870
166	3937	7850
167	3959	7824
168	3981	7798
169	4005	7775
170	4027	7748
171	4055	7734
172	4077	7707
173	4103	7687
174	4124	7659
175	4148	7636
176	4171	7612
177	4195	7589
178	4219	7566
179	4245	7547
180	4273	7531
181	4295	7505
182	4320	7483
183	4342	7456
184	4364	7430
185	4388	7407
186	4410	7382
187	4435	7360
188	4459	7337
189	4482	7314
190	4504	7288
191	4526	7262
192	4551	7240
193	4573	7213
194	4596	7190
195	4620	7166
196	4644	7143
197	4666	7118
198	4688	7092
199	4709	7064
200	4729	7035
201	4751	7010
202	4773	6983
203	4793	6955
204	4814	6927
205	4834	6899
206	4856	6873
207	4879	6849
208	4902	6825
209	4922	6798
210	4946	6774
211	4967	6748
212	4988	6721
213	5010	6696
214	5031	6670
215	5055	6646
216	5076	6620
217	5098	6594
218	5120	6569
219	5142	6544
220	5163	6518
221	5184	6492
222	5207	6467
223	5229	6443
224	5253	6420
225	5275	6395
226	5296	6369
